67,61.4,12.3,24.6,0.0,12.3,42.1,0.0,22.8,1.8,100.0
14100,67.4,32.6,50.0,31.4,1.2,17.4,1.2,8.1,0.0,98.8
14231,91.5,53.7,31.7,0.0,25.6,15.9,0.0,76.8,0.0,98.8
14258,77.4,58.8,52.8,25.6,5.5,27.1,0.0,23.1,2.0,98.5
14365,67.2,35.4,30.2,16.6,18.8,20.5,0.0,21.1,16.2,96.8
14373,71.4,4.8,21.4,0.0,26.2,2.4,0.0,50.0,9.5,100.0
14498,74.8,13.6,28.2,0.0,25.2,24.3,0.0,47.6,1.0,96.1
14571,61.5,11.9,22.9,0.0,23.9,17.4,0.0,36.7,1.8,93.6
14621,82.6,6.7,15.9,0.0,23.1,27.7,0.0,64.6,3.6,94.4
14691,94.4,35.2,61.7,0.0,8.6,59.9,0.0,87.0,4.3,100.0
14704,74.9,7.2,8.7,1.0,49.3,5.0,0.0,38.7,1.2,90.9
14904,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,81.3
14918,22.9,2.9,0.0,0.0,20.0,0.0,0.0,0.0,0.0,82.9
14919,63.0,0.0,0.0,0.0,31.8,0.0,0.0,0.0,0.0,66.4
14920,100.0,18.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
14944,45.1,16.0,6.3,0.0,17.7,13.7,0.6,18.9,4.0,87.4
15099,82.7,11.5,17.3,0.0,38.5,15.4,0.0,61.5,21.2,86.5
15156,90.7,5.6,13.0,0.0,68.5,29.6,0.0,77.8,1.9,98.1
15172,74.1,11.1,3.7,0.0,25.9,40.7,0.0,66.7,3.7,96.3
15214,58.4,9.5,5.4,2.7,37.6,13.6,0.5,29.0,1.4,85.5
15222,68.2,8.1,3.9,0.7,51.2,8.1,1.1,13.8,12.0,89.4
15329,82.6,34.8,19.6,0.0,30.4,56.5,0.0,41.3,2.2,97.8
15344,63.2,15.8,31.6,0.0,5.3,52.6,0.0,5.3,0.0,94.7
15560,63.0,3.1,3.1,0.0,47.7,5.7,0.0,18.7,2.1,93.3
15598,63.0,1.2,0.0,0.0,50.6,0.0,0.0,0.0,0.0,74.1
15599,55.9,0.8,0.0,0.0,54.3,0.0,0.0,0.8,0.0,86.6
15600,27.7,1.0,0.0,1.0,26.7,0.0,0.0,0.0,0.0,81.2
15710,63.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,20.0
15792,46.2,10.8,21.5,3.8,14.6,16.5,0.0,19.0,1.9,94.9
15842,64.2,17.6,13.8,11.4,32.8,16.7,0.0,18.2,2.1,91.2
16048,65.0,16.7,18.3,0.0,28.3,6.7,0.0,33.3,10.0,93.3
16154,76.1,51.5,45.1,29.2,15.5,17.8,0.0,13.6,0.0,97.3
16162,64.7,12.8,12.8,0.8,27.8,27.1,3.0,20.3,3.0,98.5
16220,50.0,14.1,7.7,0.0,2.6,24.4,0.0,24.4,0.0,92.3
16303,70.1,47.0,29.0,20.0,14.5,26.2,0.0,24.3,0.6,93.9
16345,69.0,9.8,14.4,0.0,33.3,25.9,0.0,31.0,9.2,97.7
16352,59.6,17.5,15.8,0.0,12.3,3.5,0.0,40.4,1.8,98.2
16427,63.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,72.0
16429,63.0,2.2,0.0,0.0,28.9,0.0,0.0,4.4,0.0,62.2
16436,77.8,16.7,33.3,0.0,22.2,38.9,0.0,38.9,8.3,100.0
16568,70.3,29.7,18.9,0.0,18.9,29.7,0.0,45.9,8.1,97.3
16672,33.1,0.7,0.0,0.0,28.1,0.0,1.4,3.6,0.0,46.0
16701,22.7,18.2,0.0,4.5,0.0,4.5,0.0,0.0,0.0,95.5
16758,70.6,35.9,42.9,19.5,13.3,17.5,0.0,35.6,0.8,98.0
16816,90.4,23.1,32.7,0.0,48.1,40.4,0.0,51.9,40.4,100.0
16882,63.0,0.0,0.0,0.0,24.1,0.0,0.0,0.0,0.0,78.3
16883,81.0,3.2,0.0,0.0,80.2,4.0,0.0,0.0,0.0,92.9
16885,15.7,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,55.4
16886,63.0,3.5,3.5,5.3,31.6,3.5,0.0,0.0,0.0,80.7
16887,63.0,5.1,0.0,0.0,17.9,0.0,0.0,0.0,15.4,82.1
16941,71.4,50.1,53.2,33.6,4.9,14.3,0.0,10.5,0.2,99.1
17004,66.5,19.6,21.1,3.1,27.3,28.9,0.0,18.6,3.6,95.4
17046,46.5,21.3,23.2,0.6,9.0,15.5,1.9,12.3,5.2,98.1
17095,76.4,59.0,58.7,46.4,4.0,1.1,0.0,11.1,0.0,98.3
17160,73.0,4.0,13.0,0.0,47.0,9.0,1.0,33.0,14.0,93.0
17194,84.2,24.2,43.2,9.5,14.7,65.3,1.1,18.9,6.3,97.9
17233,17.5,1.5,0.0,0.0,13.3,1.5,0.0,3.4,1.5,62.0
17274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2
17285,77.4,36.9,45.2,17.9,21.4,32.1,0.0,31.0,0.0,95.2
17301,81.2,69.6,61.9,59.7,3.3,0.6,0.0,29.3,1.1,97.2
17325,6.5,0.0,1.1,0.0,2.2,1.1,0.0,2.2,2.2,47.8
17343,60.6,15.9,3.0,0.0,14.4,9.1,0.0,41.7,2.3,97.7
17377,77.8,0.0,0.0,0.0,75.0,0.0,1.9,0.9,6.5,88.9
17426,87.1,20.1,36.7,0.7,42.4,28.8,1.4,41.7,26.6,98.6
17491,59.3,16.8,18.6,0.0,15.0,24.8,0.0,25.7,2.7,99.1
17498,47.1,41.2,29.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0
17582,85.3,26.5,41.2,0.0,44.1,55.9,0.0,55.9,29.4,94.1
17640,71.4,0.0,57.1,0.0,21.4,57.1,0.0,0.0,0.0,100.0
17665,46.2,15.4,13.5,0.0,7.7,0.0,0.0,30.8,7.7,98.1
17756,73.9,17.4,21.2,0.5,27.2,0.0,0.0,54.9,14.1,91.3
17772,72.4,33.6,36.9,13.7,9.7,47.5,0.2,17.7,3.8,96.2
17798,86.0,19.3,42.1,0.0,57.9,22.8,0.0,33.3,31.6,96.5
17905,62.9,15.0,14.3,0.7,10.0,17.1,0.0,34.3,7.9,96.4
18150,31.6,5.3,0.0,0.0,26.3,21.1,0.0,31.6,21.1,73.7
18184,69.7,25.8,22.7,0.0,27.3,21.2,0.0,21.2,1.5,97.0
18218,80.0,5.8,16.7,0.0,50.8,23.3,0.0,41.7,7.5,94.2
18408,30.0,21.4,8.6,10.0,1.4,18.6,0.0,0.0,0.0,100.0
18481,50.4,17.1,13.2,0.0,14.0,26.4,0.0,24.0,0.8,96.1
18507,70.1,22.8,16.3,2.7,26.6,29.9,0.0,28.8,13.0,94.6
18523,90.3,3.2,0.0,0.0,71.0,32.3,0.0,74.2,45.2,100.0
18606,82.9,34.1,34.1,2.4,4.9,24.4,0.0,41.5,2.4,100.0
18770,68.9,56.3,41.7,0.0,4.9,5.3,0.0,5.8,0.5,97.1
18846,49.2,9.0,15.6,0.0,15.6,17.2,0.0,40.2,14.8,97.5
18929,61.1,24.9,13.0,7.5,15.4,37.9,0.0,38.7,2.0,94.1
18960,64.0,16.9,22.1,0.0,12.5,44.9,0.0,15.4,2.9,97.8
19192,26.7,0.0,0.0,0.0,26.7,0.0,0.0,0.0,0.0,20.0
19194,23.2,0.0,0.0,0.0,22.3,0.9,0.0,0.0,0.0,83.0
19216,76.9,39.8,34.3,30.6,17.6,23.1,0.0,20.4,6.5,99.1
19226,25.9,3.7,3.7,0.0,22.2,0.0,0.0,0.0,0.0,77.8
19266,19.7,0.0,0.0,0.0,16.7,0.0,0.0,3.0,0.0,21.2
19364,75.8,4.8,25.0,0.0,50.0,10.5,0.0,33.9,21.0,91.9
19406,39.7,15.5,0.0,1.7,8.6,13.8,0.0,19.0,0.0,96.6
19539,72.2,6.6,21.2,0.0,34.4,23.8,0.0,43.7,16.6,96.0
19617,26.6,10.6,0.0,0.0,14.9,0.0,0.0,1.1,0.0,66.0
19622,63.0,7.9,0.0,0.0,23.7,0.0,0.0,7.9,0.0,73.7
19628,73.8,2.4,0.0,0.0,69.0,0.0,0.0,4.8,0.0,95.2
19643,33.3,13.3,0.0,3.3,0.0,6.7,0.0,16.7,0.0,93.3
19655,26.3,5.3,0.0,0.0,23.7,2.6,0.0,0.0,0.0,60.5
19661,80.3,29.9,23.9,0.0,22.2,49.6,1.7,26.5,0.9,93.2
19664,15.4,2.6,0.0,0.0,12.8,1.3,0.0,0.0,0.0,34.6
19677,31.3,0.0,0.0,0.0,25.0,6.3,0.0,0.0,0.0,81.3
19682,39.5,0.0,0.0,0.0,39.5,0.0,0.0,2.6,2.6,86.8
19687,73.3,36.8,18.6,23.9,18.9,1.8,0.0,39.6,1.8,97.9
19694,63.0,9.1,9.1,0.0,18.2,0.0,0.0,0.0,0.0,81.8
19695,74.1,8.6,21.6,4.3,46.8,17.3,0.0,24.5,2.2,96.4
19724,7.1,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0
19727,36.4,0.0,0.0,0.0,18.2,0.0,0.0,18.2,0.0,81.8
19732,22.7,0.0,0.0,0.0,11.4,0.0,0.0,9.1,4.5,56.8
19734,5.5,2.4,0.0,0.0,3.1,0.8,0.0,0.0,0.0,70.9
19737,63.4,31.6,20.5,8.4,21.6,20.2,0.0,20.5,0.3,96.4
19745,91.3,20.3,15.9,0.0,68.1,36.2,0.0,50.7,20.3,98.6
19752,77.8,11.5,13.9,0.6,40.2,16.4,0.0,45.9,22.2,90.9
19761,63.0,6.7,0.0,0.0,26.7,0.0,0.0,0.0,0.0,73.3
19785,63.0,0.0,0.0,0.0,44.2,0.0,0.0,4.7,2.3,86.0
19796,5.6,0.0,0.0,0.0,5.6,0.0,0.0,2.8,0.0,13.9
19803,56.4,3.6,0.0,0.0,50.9,1.8,0.0,1.8,0.0,76.4
19829,17.9,0.0,0.0,0.0,14.3,0.0,0.0,3.6,0.0,67.9
19839,28.6,7.1,0.0,0.0,17.9,0.0,0.0,10.7,0.0,50.0
20008,51.1,12.0,19.6,0.0,25.0,10.9,1.1,21.7,13.0,94.6
20032,62.7,23.0,20.7,10.7,27.6,25.2,0.2,23.0,1.2,96.4
20059,40.2,3.7,0.9,0.0,36.4,1.9,0.0,0.0,0.0,86.9
20063,27.8,5.6,0.0,0.0,11.1,5.6,0.0,5.6,0.0,83.3
20066,57.9,8.3,11.6,1.9,29.5,20.9,0.0,13.6,0.7,96.0
20107,61.4,6.8,9.1,0.0,43.2,2.3,0.0,38.6,4.5,88.6
20112,25.6,0.0,0.0,0.0,23.3,0.0,0.0,9.3,0.0,79.1
20149,86.7,8.9,42.2,0.0,13.3,48.9,0.0,33.3,31.1,100.0
20245,53.1,1.2,0.0,0.0,48.1,1.2,0.0,6.2,0.0,72.8
20255,69.2,29.3,27.8,0.5,7.1,48.0,0.0,19.2,7.6,98.0
20297,87.6,19.1,38.2,0.0,27.0,39.3,0.0,55.1,11.2,100.0
20388,45.2,5.8,11.5,0.0,25.0,10.6,0.0,9.6,3.8,93.3
20420,77.7,16.0,20.2,0.0,27.7,17.0,0.0,47.9,4.3,97.9
20446,86.4,44.8,64.0,0.0,7.2,72.8,0.0,23.2,4.0,100.0
20461,54.3,15.6,17.5,3.6,27.9,16.2,0.3,12.8,0.6,96.4
20487,66.0,7.4,34.0,0.0,23.5,0.0,0.0,36.4,8.0,95.7
20866,93.1,27.6,0.0,0.0,32.8,10.3,0.0,89.7,17.2,98.3
20883,46.1,27.5,24.3,12.2,4.8,0.5,0.0,19.2,0.6,93.6
20990,70.8,9.7,12.5,0.0,25.0,11.1,0.0,41.7,2.8,98.6
21030,50.0,0.0,0.0,0.0,48.1,1.9,0.0,7.5,0.0,69.8
21113,61.6,27.3,29.0,11.4,18.4,15.0,0.6,23.4,3.6,99.2
21188,82.6,0.0,2.2,0.0,78.3,0.0,0.0,8.7,2.2,80.4
21212,51.1,8.6,6.5,3.6,25.2,0.0,0.7,33.8,10.8,93.5
21220,82.7,14.2,22.0,0.0,12.6,31.5,0.0,48.8,37.0,99.2
21246,72.9,19.6,25.9,7.8,23.9,34.1,0.8,36.9,4.7,92.5
21287,65.1,13.6,26.0,0.0,26.0,22.5,0.0,17.8,1.8,97.6
21477,41.9,19.4,16.1,0.0,16.1,9.7,0.0,22.6,0.0,93.5
21519,68.5,19.1,25.8,0.0,14.6,21.3,0.0,38.2,5.6,97.8
21576,68.8,24.0,17.2,7.7,21.7,17.6,0.0,33.5,0.0,98.2
21600,68.5,43.3,39.6,22.8,13.2,14.9,0.0,12.4,2.2,98.9
21683,74.2,9.7,41.9,0.0,32.3,6.5,0.0,25.8,22.6,100.0
21717,86.4,4.5,22.7,0.0,25.0,36.4,0.0,75.0,36.4,95.5
21816,80.5,9.2,18.4,0.0,40.2,21.8,0.0,48.3,12.6,95.4
21956,79.2,64.2,56.6,50.9,7.5,18.9,0.0,5.7,0.9,98.1
22087,48.1,17.0,16.0,0.0,10.4,17.0,4.7,20.8,0.0,96.2
22111,42.1,8.8,13.9,1.9,19.4,3.7,0.0,20.8,2.3,94.0
22160,72.5,6.3,13.8,0.0,15.0,21.3,0.0,55.0,7.5,91.3
22178,85.8,16.6,21.8,0.0,51.2,0.5,0.0,59.2,27.0,95.7
22186,49.1,0.5,4.7,0.0,38.8,0.0,0.0,13.1,9.3,86.9
22368,83.3,5.0,23.3,0.0,40.0,30.0,0.0,53.3,1.7,100.0
22418,74.5,19.8,29.2,5.7,34.9,12.3,0.0,34.9,25.5,99.1
22483,72.2,9.3,6.2,2.5,49.4,5.6,0.0,39.5,3.1,93.8
22566,75.9,0.0,9.5,0.0,66.8,5.4,0.0,34.0,12.9,92.9
22640,66.7,15.9,33.3,0.0,14.5,13.0,0.0,34.8,0.0,97.1
22681,55.7,9.8,9.8,0.0,26.2,11.5,0.0,34.4,0.0,95.1
22764,85.4,7.3,28.0,0.0,40.2,15.9,0.0,52.4,13.4,97.6
22772,70.9,50.0,57.3,6.4,4.5,0.9,0.0,30.0,1.8,96.4
22798,81.1,19.4,30.0,0.0,38.2,44.2,0.0,34.1,4.6,94.5
22855,66.0,0.0,1.9,0.0,50.5,0.0,0.0,23.3,0.0,75.7
22863,94.1,27.5,33.3,0.0,7.8,60.8,0.0,39.2,25.5,100.0
22871,65.0,34.3,28.2,4.7,7.2,35.4,0.0,16.6,0.4,97.1
22947,80.5,18.3,29.6,0.0,26.6,36.1,0.0,42.0,4.1,93.5
23036,29.8,5.3,9.6,0.0,9.6,0.0,0.0,16.0,8.5,88.3
23119,51.3,18.4,22.6,5.7,16.1,13.8,0.0,20.7,2.3,97.3
23218,56.1,17.1,14.6,0.0,14.6,14.6,0.0,26.8,9.8,100.0
23242,69.4,15.6,27.2,3.3,37.8,27.8,0.0,35.6,22.2,96.7
23259,41.1,1.1,0.0,0.0,29.5,0.0,0.0,15.8,0.0,63.2
23325,76.5,35.8,18.8,20.1,8.5,7.2,1.7,30.7,17.1,98.3
23358,81.0,13.5,18.3,0.0,32.5,33.3,0.0,42.9,2.4,97.6
23424,93.0,8.2,27.8,0.6,88.6,8.9,0.0,25.9,14.6,98.7
23515,72.0,18.0,34.0,0.0,26.0,26.0,0.0,34.0,2.0,98.0
23606,71.2,34.0,35.9,22.9,19.0,7.2,0.0,17.6,1.3,100.0
23838,47.3,6.5,15.4,0.0,16.6,16.0,0.0,22.5,13.6,89.3
23846,61.2,9.7,7.0,0.2,16.0,22.8,0.0,27.5,6.8,83.3
23879,97.1,2.9,11.8,0.0,97.1,20.6,0.0,26.5,32.4,100.0
23960,75.5,9.2,19.4,0.0,31.6,26.5,0.0,57.1,9.2,95.9
23986,64.7,0.0,0.0,0.0,36.1,5.0,0.0,51.3,2.5,67.2
24026,82.4,16.2,32.4,0.0,13.2,27.9,0.0,48.5,30.9,98.5
24075,64.4,43.7,37.7,16.0,16.2,11.8,0.4,17.6,0.7,98.2
24117,73.8,5.7,2.5,0.0,23.8,25.4,0.0,44.3,3.3,82.0
24190,49.0,0.0,6.1,0.0,44.9,0.0,0.0,12.2,12.2,79.6
24208,74.1,25.9,23.1,0.0,16.8,37.8,0.0,36.4,23.8,96.5
24281,68.3,29.4,18.1,15.0,25.8,16.1,1.2,24.7,11.7,96.2
24372,64.5,28.0,37.4,0.0,20.6,42.1,0.0,29.0,7.5,99.1
24414,63.3,17.1,21.9,0.5,20.5,22.4,0.0,38.6,20.5,95.7
24422,51.4,18.3,19.5,9.1,11.9,21.2,1.2,28.6,8.4,91.9
24562,37.8,5.9,5.9,0.0,23.9,0.3,0.0,17.5,1.8,83.8
24570,64.5,21.2,14.8,11.3,27.2,1.5,0.0,34.0,21.6,95.7
24596,56.8,18.4,28.4,11.6,8.4,20.5,0.0,17.9,1.6,98.9
24661,57.0,0.0,0.0,0.0,49.7,0.0,0.0,8.9,0.6,74.3
24745,70.4,21.8,35.3,21.8,19.0,12.5,0.0,30.8,4.6,97.6
24810,95.2,38.1,47.6,0.0,28.6,61.9,0.0,78.6,16.7,97.6
24851,95.3,11.6,2.3,0.0,41.9,9.3,0.0,67.4,4.7,97.7
24984,81.5,22.2,19.8,1.2,32.1,39.5,4.9,44.4,30.9,95.1
25023,93.2,6.8,21.9,0.0,89.0,5.5,0.0,13.7,28.8,97.3
25056,72.0,12.7,10.7,0.0,39.3,16.7,0.0,58.7,1.3,94.0
25080,64.7,13.8,25.0,0.0,30.2,11.2,0.0,31.0,9.5,97.4
25114,88.4,53.6,52.2,15.9,5.8,39.1,0.0,42.0,7.2,100.0
25122,73.0,8.1,13.5,0.0,35.1,35.1,0.0,64.9,13.5,100.0
25148,57.4,22.2,24.1,0.0,5.6,24.1,0.0,20.4,3.7,96.3
25155,78.8,11.5,19.2,0.0,53.8,40.4,0.0,48.1,46.2,96.2
25361,83.3,7.1,26.2,0.0,45.2,31.0,7.1,40.5,9.5,97.6
25437,45.9,11.5,11.5,0.0,19.7,13.1,0.0,16.4,6.6,88.5
25544,63.8,10.0,13.8,0.0,30.8,15.4,0.0,49.2,0.8,89.2
25783,88.5,8.2,19.7,0.0,70.5,19.7,0.0,50.8,21.3,98.4
25817,71.7,2.2,0.0,0.0,62.4,2.7,0.0,23.5,2.2,92.0
25866,72.9,6.5,2.8,0.0,34.1,20.6,2.8,39.3,11.2,92.5
25874,17.1,0.7,0.0,0.0,15.1,1.4,0.0,0.0,0.0,63.0
25932,61.0,16.9,18.4,4.8,30.9,21.7,0.0,32.7,4.4,94.1
26070,50.0,13.2,13.2,0.0,18.4,31.6,0.0,5.3,2.6,97.4
26112,64.9,8.8,31.6,0.0,21.1,17.5,0.0,10.5,1.8,93.0
26120,73.6,5.6,4.2,0.0,47.2,18.1,0.0,30.6,5.6,90.3
26229,67.0,40.7,40.7,0.0,20.9,11.0,0.0,14.3,12.1,98.9
26302,68.3,18.7,24.6,6.7,29.1,19.8,1.1,28.0,25.7,95.9
26336,55.5,28.8,19.5,7.4,11.0,19.5,0.0,14.6,1.4,93.7
26393,89.8,28.8,28.0,2.5,44.1,38.1,0.0,73.7,8.5,99.2
26419,52.0,14.2,9.5,0.0,16.9,15.5,0.0,25.7,7.4,94.6
26468,77.4,16.1,19.4,0.0,48.4,21.0,0.0,35.5,17.7,95.2
26567,74.7,4.8,12.0,0.0,33.7,27.7,0.0,32.5,9.6,96.4
26641,67.7,25.8,33.9,0.0,4.8,43.5,0.0,29.0,17.7,95.2
26765,80.0,25.0,15.0,0.0,25.0,5.0,0.0,65.0,30.0,95.0
26823,55.8,4.7,18.6,0.0,14.0,9.3,0.0,37.2,0.0,93.0
26849,62.2,20.0,13.3,0.0,31.1,28.9,0.0,35.6,20.0,97.8
26872,35.5,0.0,0.0,0.0,19.4,9.7,0.0,29.0,0.0,96.8
26906,68.2,19.5,30.3,17.9,30.8,17.9,0.0,28.7,8.7,87.2
26922,58.3,17.1,12.0,5.1,26.9,24.0,0.0,28.6,5.7,96.0
26955,97.1,37.1,37.1,0.0,48.6,65.7,0.0,42.9,37.1,100.0
27011,37.1,9.9,17.3,3.3,15.5,5.3,0.0,18.5,2.8,88.3
27060,65.6,1.6,7.8,0.0,53.1,9.4,0.0,26.6,17.2,93.8
27151,50.0,6.4,14.1,0.0,25.6,12.8,0.0,15.4,0.0,88.5
27169,92.0,32.0,4.0,0.0,74.0,50.0,0.0,66.0,0.0,100.0
27334,55.0,27.0,30.3,15.7,15.0,14.3,0.0,23.0,0.0,99.0
27367,81.5,25.2,10.5,6.9,53.0,13.1,0.3,54.8,16.5,96.4
27565,80.5,2.4,2.4,0.0,62.2,1.2,0.0,50.6,11.0,87.8
27573,57.2,14.4,14.7,7.8,24.5,11.1,0.0,15.7,1.3,91.2
27656,68.7,15.7,25.3,0.0,13.3,32.5,0.0,32.5,0.0,98.8
27680,79.3,4.5,7.1,0.0,64.1,11.1,0.5,18.2,1.5,86.4
27698,60.5,13.2,16.5,9.7,28.4,17.8,1.6,21.6,11.6,96.5
27722,92.2,15.6,28.6,0.0,16.9,45.5,0.0,58.4,27.3,100.0
27763,63.0,0.7,6.4,0.0,37.9,6.4,2.1,14.3,15.0,98.6
27771,78.9,10.0,20.0,0.0,24.4,46.7,0.0,36.7,6.7,98.9
27854,62.2,8.1,18.0,0.0,27.0,24.3,0.9,27.9,4.5,99.1
27862,58.9,20.5,19.2,6.2,17.8,11.6,0.0,29.5,0.0,96.6
27888,73.0,24.3,28.4,0.0,10.8,36.5,1.4,55.4,16.2,93.2
27896,82.6,14.8,28.7,2.6,27.8,36.5,0.0,33.9,4.3,95.7
27961,64.9,14.3,23.4,0.0,26.0,0.0,0.0,36.4,10.4,96.1
27995,69.9,19.2,23.1,3.2,5.8,32.1,0.0,34.0,7.7,97.4
28068,57.4,17.5,16.9,3.8,20.8,25.1,0.5,29.0,6.6,94.0
28076,80.2,24.3,21.6,0.0,7.2,46.8,0.0,30.6,11.7,100.0
28100,78.0,7.9,10.2,7.1,68.5,0.8,0.0,10.2,3.9,89.0
28183,87.8,20.9,25.2,2.6,50.4,7.0,0.0,55.7,21.7,96.5
28217,54.3,15.5,13.0,18.6,22.7,8.0,0.0,18.6,4.0,94.0
28365,69.7,15.1,27.9,7.7,20.2,10.4,0.0,38.3,4.9,92.9
28373,81.2,67.6,60.0,42.9,3.5,22.4,0.6,11.2,0.6,99.4
28399,90.1,12.3,21.0,16.0,39.5,4.9,0.0,23.5,12.3,97.5
28506,81.0,14.3,38.1,0.0,41.3,38.1,0.0,44.4,14.3,98.4
28548,76.3,57.4,53.3,39.2,6.2,17.9,0.0,17.7,0.0,98.6
28605,75.2,20.4,34.4,10.7,27.4,35.2,0.0,41.9,27.8,98.5
28670,61.6,17.6,24.5,0.0,14.5,27.7,0.0,37.7,14.5,99.4
